"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.161812100E-2,-6.281159520E-1,4.875675201E0,8.914461136E0
2.157093400E-2,-6.017948985E-1,4.945066929E0,8.268099785E0
3.153530900E-2,-5.802595019E-1,4.933103085E0,8.571988106E0
4.151598600E-2,-6.065805554E-1,4.863711357E0,8.519346237E0
5.151510000E-2,-5.706881881E-1,5.004887581E0,8.414061546E0
6.148395500E-2,-5.539384484E-1,4.894817829E0,8.461917877E0
7.137333000E-2,-5.682953596E-1,4.952245712E0,8.612666130E0
8.131208000E-2,-6.810571551E-1,4.866104126E0,8.445168495E0
9.131890200E-2,-7.959126234E-1,4.894817829E0,8.567202568E0
1.012859340E-1,-7.648059130E-1,4.851747036E0,8.344670296E0
1.112794750E-1,-6.930212379E-1,4.959424019E0,8.560024261E0
1.212574440E-1,-8.270193338E-1,4.875675201E0,8.481060982E0
1.311780690E-1,-8.868398666E-1,4.846961498E0,8.653642654E0
1.411321840E-1,-8.222336769E-1,4.811069012E0,8.418847084E0
1.511102570E-1,-7.815557122E-1,4.880460739E0,8.548059464E0
1.610742670E-1,-8.246265054E-1,4.863711357E0,8.490632057E0
1.710499960E-1,-7.791628838E-1,4.942674160E0,8.605487823E0
1.810187980E-1,-7.863413692E-1,4.890032291E0,8.574380875E0
1.909786940E-1,-7.624131441E-1,4.858925343E0,8.622237206E0
2.009437460E-1,-7.313064337E-1,4.837389946E0,8.473882675E0
2.109209860E-1,-6.954140663E-1,4.849354267E0,8.471489906E0
2.208910900E-1,-7.265207767E-1,4.839782715E0,8.488239288E0
2.308748920E-1,-7.576274872E-1,4.839782715E0,8.519346237E0
2.408506210E-1,-7.600203156E-1,4.844568729E0,8.588737488E0
2.508351000E-1,-6.906284094E-1,4.870889664E0,8.552845001E0
2.608144750E-1,-6.065805554E-1,4.894817829E0,8.524131775E0
2.707378610E-1,-5.635097623E-1,4.887639523E0,8.488239288E0
2.806937980E-1,-6.017948985E-1,4.868496895E0,8.514560699E0
2.906903610E-1,-6.185446382E-1,4.878067970E0,8.514560699E0
3.006632770E-1,-6.065805554E-1,4.897210598E0,8.488239288E0
3.106230170E-1,-5.922235847E-1,4.885246754E0,8.488239288E0
3.205903610E-1,-5.587241054E-1,4.875675201E0,8.521739006E0
3.305723400E-1,-4.917250574E-1,4.945066929E0,8.402097702E0
3.405457770E-1,-5.635097623E-1,4.923531532E0,8.469096184E0
3.504961420E-1,-6.472585201E-1,4.913960457E0,8.607880592E0
3.604598920E-1,-6.065805554E-1,4.933103085E0,8.545666695E0
3.704093710E-1,-5.443671346E-1,4.959424019E0,8.509774208E0
3.803716630E-1,-5.060819983E-1,4.952245712E0,8.483453751E0
3.903514550E-1,-5.180460811E-1,4.937888622E0,8.449954033E0
4.003155170E-1,-5.300102234E-1,4.892425060E0,8.497810364E0
4.103196320E-1,-5.802595019E-1,4.918745995E0,8.497810364E0
4.202877050E-1,-6.496513486E-1,4.897210598E0,8.493024826E0
4.302281730E-1,-6.616154313E-1,4.923531532E0,8.524131775E0
4.401934340E-1,-6.810571551E-1,4.954638481E0,8.519346237E0
4.501722880E-1,-6.834499836E-1,4.937888622E0,8.533702850E0
4.601389550E-1,-6.786643267E-1,4.935495853E0,8.440382957E0
4.701652050E-1,-7.265207767E-1,4.921138763E0,8.466703415E0
4.801378610E-1,-7.791628838E-1,4.911567688E0,8.507381439E0
4.900387460E-1,-7.695915699E-1,4.954638481E0,8.411668777E0
5.000041110E-1,-7.719843984E-1,4.952245712E0,8.406883240E0
5.099666630E-1,-7.887341380E-1,4.937888622E0,8.440382957E0
5.199317150E-1,-8.126623631E-1,4.916353226E0,8.519346237E0
5.298996840E-1,-8.485547304E-1,4.906782150E0,8.555238724E0
5.398650480E-1,-7.935197949E-1,4.959424019E0,8.512166977E0
5.498433300E-1,-6.762714982E-1,4.973781109E0,8.488239288E0
5.598099960E-1,-6.858428121E-1,4.966602325E0,8.440382957E0
5.697788500E-1,-7.049853802E-1,4.945066929E0,8.495417595E0
5.797457250E-1,-6.978068948E-1,4.947459698E0,8.473882675E0
5.896921840E-1,-6.930212379E-1,4.947459698E0,8.392526627E0
5.996569750E-1,-6.762714982E-1,4.937888622E0,8.540881157E0
6.096409860E-1,-6.786643267E-1,4.988137722E0,8.258528709E0
6.196077050E-1,-6.954140663E-1,4.976173878E0,8.461917877E0
6.295734340E-1,-7.384848595E-1,4.949852943E0,8.569595337E0
6.395399960E-1,-6.810571551E-1,5.019244671E0,8.390133858E0
6.494988500E-1,-6.281159520E-1,5.028815746E0,8.325527191E0
6.594646840E-1,-6.376872063E-1,4.995316505E0,8.461917877E0
6.694477570E-1,-7.265207767E-1,4.911567688E0,8.373383522E0
6.794152570E-1,-6.762714982E-1,5.105386257E0,8.035696983E0
6.893840070E-1,-5.252245665E-1,4.581058979E0,1.004686451E1
6.993516630E-1,-6.690930128E-1,5.196612358E0,8.136494637E0
7.093029130E-1,-5.108676553E-1,5.000102043E0,8.897710800E0
7.192689020E-1,-5.994020700E-1,5.110171795E0,8.021339417E0
