"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.153530900E-2,-4.394212738E-3,3.595264861E-3,4.261054564E-3
3.153530900E-2,-4.394212738E-3,3.595264861E-3,4.261054564E-3
4.151598600E-2,4.127896391E-3,3.595264861E-3,2.130527282E-3
5.151510000E-2,3.062632866E-3,3.595264861E-3,1.065263641E-3
6.148395500E-2,-3.328948980E-3,1.464737463E-3,-4.261054564E-3
7.137333000E-2,9.321057005E-4,3.595264861E-3,-5.326318089E-3
8.131208000E-2,9.321057005E-4,2.530001104E-3,-8.522109129E-3
9.131890200E-2,1.997369342E-3,3.595264861E-3,-7.456845604E-3
1.012859340E-1,-4.394212738E-3,1.464737463E-3,-7.456845604E-3
1.112794750E-1,-8.655266836E-3,1.464737463E-3,-8.522109129E-3
1.212574440E-1,-1.185105834E-2,1.464737463E-3,-1.065263618E-2
1.311780690E-1,-5.459476262E-3,-6.657897611E-4,-6.391582079E-3
1.411321840E-1,-4.394212738E-3,-1.731053460E-3,-4.261054564E-3
1.511102570E-1,-4.394212738E-3,-1.731053460E-3,-3.195791040E-3
1.610742670E-1,-4.394212738E-3,-1.731053460E-3,-3.195791040E-3
1.710499960E-1,-2.263685223E-3,-2.796316985E-3,-3.195791040E-3
1.810187980E-1,-1.198421582E-3,-4.926844500E-3,-3.195791040E-3
1.909786940E-1,3.062632866E-3,-3.861580743E-3,-5.326318089E-3
2.009437460E-1,6.258423906E-3,-2.796316985E-3,-3.195791040E-3
2.109209860E-1,4.127896391E-3,-1.731053460E-3,-2.130527282E-3
2.208910900E-1,3.062632866E-3,3.994738800E-4,1.065263641E-3
2.308748920E-1,-1.331579551E-4,-6.657897611E-4,3.195791040E-3
2.408506210E-1,-1.198421582E-3,-2.796316985E-3,6.391582079E-3
2.508351000E-1,9.321057005E-4,-3.861580743E-3,7.456845604E-3
2.608144750E-1,3.062632866E-3,-3.861580743E-3,7.456845604E-3
2.707378610E-1,3.062632866E-3,-2.796316985E-3,5.326318089E-3
2.806937980E-1,4.127896391E-3,-1.731053460E-3,5.326318089E-3
2.906903610E-1,4.127896391E-3,3.994738800E-4,4.261054564E-3
3.006632770E-1,9.321057005E-4,-1.731053460E-3,3.195791040E-3
3.106230170E-1,-1.198421582E-3,-2.796316985E-3,3.195791040E-3
3.205903610E-1,3.062632866E-3,-6.657897611E-4,1.065263641E-3
3.305723400E-1,5.193160381E-3,1.464737463E-3,-2.130527282E-3
3.405457770E-1,-1.198421582E-3,1.464737463E-3,-2.130527282E-3
3.504961420E-1,-1.331579551E-4,2.530001104E-3,-2.130527282E-3
3.604598920E-1,5.193160381E-3,3.994738800E-4,-1.065263641E-3
3.704093710E-1,5.193160381E-3,3.994738800E-4,-4.261054564E-3
3.803716630E-1,4.127896391E-3,2.530001104E-3,-6.391582079E-3
3.903514550E-1,4.127896391E-3,2.530001104E-3,-7.456845604E-3
4.003155170E-1,1.997369342E-3,4.660528619E-3,-8.522109129E-3
4.103196320E-1,3.062632866E-3,5.725792143E-3,-7.456845604E-3
4.202877050E-1,9.321057005E-4,5.725792143E-3,-7.456845604E-3
4.302281730E-1,9.321057005E-4,5.725792143E-3,-9.587372653E-3
4.401934340E-1,9.321057005E-4,4.660528619E-3,-1.171789970E-2
4.501722880E-1,1.997369342E-3,4.660528619E-3,-1.171789970E-2
4.601389550E-1,-1.331579551E-4,3.595264861E-3,-1.278316416E-2
4.701652050E-1,-1.331579551E-4,4.660528619E-3,-1.491369121E-2
4.801378610E-1,3.062632866E-3,3.595264861E-3,-1.384842768E-2
4.900387460E-1,-1.331579551E-4,2.530001104E-3,-1.384842768E-2
5.000041110E-1,-6.524739787E-3,1.464737463E-3,-1.171789970E-2
5.099666630E-1,-8.655266836E-3,-6.657897611E-4,-1.171789970E-2
5.199317150E-1,-8.655266836E-3,1.464737463E-3,-8.522109129E-3
5.298996840E-1,-3.328948980E-3,3.994738800E-4,-5.326318089E-3
5.398650480E-1,-1.331579551E-4,1.464737463E-3,-3.195791040E-3
5.498433300E-1,3.062632866E-3,2.530001104E-3,-1.065263641E-3
5.598099960E-1,9.321057005E-4,3.595264861E-3,-2.130527282E-3
