"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.151510000E-2,8.237427005E-1,2.334123254E-1,-1.083454564E-1,-5.052008629E-1,6.907754661E1,2.965854425E1,3.287295546E0,-6.217096477E1
6.148395500E-2,8.238372135E-1,2.330662757E-1,-1.085480824E-1,-5.051630139E-1,6.905844186E1,2.963543829E1,3.245881698E0,-6.217295318E1
7.137333000E-2,8.238591101E-1,2.326766104E-1,-1.085289940E-1,-5.053110123E-1,6.905401503E1,2.959402690E1,3.228773438E0,-6.219233310E1
8.131208000E-2,8.235613263E-1,2.329689562E-1,-1.077260971E-1,-5.058332682E-1,6.911419642E1,2.957413703E1,3.339300677E0,-6.223497706E1
9.131890200E-2,8.231047443E-1,2.333251536E-1,-1.064407527E-1,-5.066836476E-1,6.920638155E1,2.953072268E1,3.509859745E0,-6.230557794E1
1.012859340E-1,8.228193361E-1,2.339261770E-1,-1.057319194E-1,-5.070183873E-1,6.926395167E1,2.954851251E1,3.624266622E0,-6.232633238E1
1.112794750E-1,8.227378151E-1,2.340825498E-1,-1.055229083E-1,-5.071220398E-1,6.928038769E1,2.955160968E1,3.656891111E0,-6.233314793E1
1.212574440E-1,8.224519899E-1,2.343782932E-1,-1.047162488E-1,-5.076160431E-1,6.933798804E1,2.953176754E1,3.767056963E0,-6.237240256E1
1.311780690E-1,8.221253493E-1,2.342906445E-1,-1.037009507E-1,-5.083934665E-1,6.940376241E1,2.945916342E1,3.882657523E0,-6.244329819E1
1.411321840E-1,8.219336815E-1,2.344361842E-1,-1.031629890E-1,-5.087456107E-1,6.944233245E1,2.944048334E1,3.953708993E0,-6.247274323E1
1.511102570E-1,8.218307211E-1,2.344526500E-1,-1.028584614E-1,-5.089659691E-1,6.946304383E1,2.942308504E1,3.990573683E0,-6.249233004E1
1.610742670E-1,8.216942578E-1,2.345906347E-1,-1.024822965E-1,-5.091985464E-1,6.949048629E1,2.941374995E1,4.042027779E0,-6.251111324E1
1.710499960E-1,8.216293380E-1,2.346630991E-1,-1.023276374E-1,-5.093010068E-1,6.950353820E1,2.941148375E1,4.064391028E0,-6.251970052E1
1.810187980E-1,8.215543000E-1,2.346540987E-1,-1.021390855E-1,-5.094640255E-1,6.951862165E1,2.939862420E1,4.086937004E0,-6.253537764E1
1.909786940E-1,8.214922100E-1,2.344934940E-1,-1.019798145E-1,-5.096699595E-1,6.953110027E1,2.937185802E1,4.098844745E0,-6.255789722E1
2.009437460E-1,8.214618937E-1,2.344726324E-1,-1.019508392E-1,-5.097342134E-1,6.953719241E1,2.936772363E1,4.102443765E0,-6.256547725E1
2.109209860E-1,8.214685233E-1,2.344305217E-1,-1.020058692E-1,-5.097318888E-1,6.953586021E1,2.936672040E1,4.094644025E0,-6.256691344E1
2.208910900E-1,8.214590852E-1,2.343917489E-1,-1.019722968E-1,-5.097716451E-1,6.953775676E1,2.936059254E1,4.096722964E0,-6.257119612E1
2.308748920E-1,8.214363792E-1,2.343417853E-1,-1.018715724E-1,-5.098513365E-1,6.954231925E1,2.934914597E1,4.105713816E0,-6.257872112E1
2.408506210E-1,8.214223749E-1,2.342215478E-1,-1.017666087E-1,-5.099501014E-1,6.954513311E1,2.933019813E1,4.111397940E0,-6.258877853E1
2.508351000E-1,8.214587675E-1,2.341249734E-1,-1.018339396E-1,-5.099223852E-1,6.953782060E1,2.932448850E1,4.098214708E0,-6.258738508E1
2.608144750E-1,8.215455682E-1,2.340274006E-1,-1.020673737E-1,-5.097806454E-1,6.952037666E1,2.932907639E1,4.065640602E0,-6.257604556E1
2.707378610E-1,8.216465846E-1,2.339226454E-1,-1.023500189E-1,-5.096092224E-1,6.950007103E1,2.933598990E1,4.027036242E0,-6.256232363E1
2.806937980E-1,8.217152689E-1,2.338157743E-1,-1.025310978E-1,-5.095111132E-1,6.948626162E1,2.933631298E1,4.000244670E0,-6.255516007E1
2.906903610E-1,8.217694559E-1,2.337516993E-1,-1.026719660E-1,-5.094247460E-1,6.947536531E1,2.933854902E1,3.980239787E0,-6.254823541E1
3.006632770E-1,8.218285058E-1,2.337139547E-1,-1.028389707E-1,-5.093131065E-1,6.946348939E1,2.934513299E1,3.958572196E0,-6.253873717E1
3.106230170E-1,8.218918779E-1,2.336398065E-1,-1.030058935E-1,-5.092111230E-1,6.945074226E1,2.934795801E1,3.934990431E0,-6.253058414E1
3.205903610E-1,8.219575892E-1,2.335274965E-1,-1.031921580E-1,-5.091188550E-1,6.943752244E1,2.934800403E1,3.907583943E0,-6.252436924E1
3.305723400E-1,8.220491801E-1,2.335644066E-1,-1.035151482E-1,-5.088884234E-1,6.941909247E1,2.937198637E1,3.871979207E0,-6.250390149E1
3.405457770E-1,8.221059933E-1,2.335527539E-1,-1.036857516E-1,-5.087672472E-1,6.940765834E1,2.938147220E1,3.851263746E0,-6.249323918E1
3.504961420E-1,8.221185189E-1,2.334987074E-1,-1.037072837E-1,-5.087674260E-1,6.940513724E1,2.937724572E1,3.845928240E0,-6.249402788E1
3.604598920E-1,8.221454565E-1,2.334998697E-1,-1.038211659E-1,-5.087001324E-1,6.939971507E1,2.938443232E1,3.833117598E0,-6.248866991E1
3.704093710E-1,8.221912175E-1,2.335138917E-1,-1.040172204E-1,-5.085796714E-1,6.939050318E1,2.939804689E1,3.811647906E0,-6.247882508E1
3.803716630E-1,8.222461519E-1,2.335139215E-1,-1.042330787E-1,-5.084466338E-1,6.937944321E1,2.941146435E1,3.787042164E0,-6.246797593E1
3.903514550E-1,8.222889782E-1,2.335293740E-1,-1.044226885E-1,-5.083313584E-1,6.937081991E1,2.942481426E1,3.766434941E0,-6.245862899E1
4.003155170E-1,8.223212911E-1,2.334731817E-1,-1.045436263E-1,-5.082800388E-1,6.936431292E1,2.942650487E1,3.749970544E0,-6.245570897E1
4.103196320E-1,8.223357322E-1,2.334841341E-1,-1.046185344E-1,-5.082362294E-1,6.936140466E1,2.943226528E1,3.742187896E0,-6.245223618E1
4.202877050E-1,8.223241785E-1,2.335102856E-1,-1.046060994E-1,-5.082454681E-1,6.936373143E1,2.943415323E1,3.745275030E0,-6.245301016E1
4.302281730E-1,8.223044003E-1,2.335506976E-1,-1.045859233E-1,-5.082630515E-1,6.936771435E1,2.943700021E1,3.750248130E0,-6.245460857E1
4.401934340E-1,8.222740946E-1,2.336305529E-1,-1.045641527E-1,-5.082798600E-1,6.937381691E1,2.944377716E1,3.757779829E0,-6.245597412E1
4.501722880E-1,8.222409234E-1,2.336897403E-1,-1.045336649E-1,-5.083125830E-1,6.938049592E1,2.944786298E1,3.765389931E0,-6.245919604E1
4.601389550E-1,8.222098051E-1,2.337817550E-1,-1.045208052E-1,-5.083232522E-1,6.938676110E1,2.945643613E1,3.772635501E0,-6.246000377E1
4.701652050E-1,8.221571132E-1,2.338730097E-1,-1.044487581E-1,-5.083813071E-1,6.939736862E1,2.946121065E1,3.786956887E0,-6.246520506E1
4.801378610E-1,8.220861445E-1,2.339685857E-1,-1.043371484E-1,-5.084750056E-1,6.941165326E1,2.946392101E1,3.806443202E0,-6.247385244E1
4.900387460E-1,8.220265287E-1,2.341241986E-1,-1.042663306E-1,-5.085142851E-1,6.942365081E1,2.947540641E1,3.823986599E0,-6.247650292E1
5.000041110E-1,8.219794998E-1,2.342458665E-1,-1.041864604E-1,-5.085506439E-1,6.943311397E1,2.948290215E1,3.840173556E0,-6.247857080E1
5.099666630E-1,8.219289415E-1,2.343289852E-1,-1.040885001E-1,-5.086141229E-1,6.944328607E1,2.948527655E1,3.856589011E0,-6.248371511E1
5.199317150E-1,8.218801690E-1,2.343690544E-1,-1.039504781E-1,-5.087026954E-1,6.945309764E1,2.948076689E1,3.874925576E0,-6.249101993E1
5.298996840E-1,8.218230774E-1,2.344169915E-1,-1.038018242E-1,-5.088031888E-1,6.946458122E1,2.947637463E1,3.895145316E0,-6.249954672E1
5.398650480E-1,8.217888928E-1,2.345108241E-1,-1.037313566E-1,-5.088295341E-1,6.947145642E1,2.948163219E1,3.908397433E0,-6.250065408E1
5.498433300E-1,8.217918628E-1,2.345835865E-1,-1.037654951E-1,-5.087842345E-1,6.947085912E1,2.949127721E1,3.908171649E0,-6.249561014E1
5.598099960E-1,8.217922761E-1,2.346688807E-1,-1.037844494E-1,-5.087403655E-1,6.947077600E1,2.950128923E1,3.910179646E0,-6.249026762E1
5.697788500E-1,8.217874746E-1,2.347244471E-1,-1.037780344E-1,-5.087237954E-1,6.947174163E1,2.950664329E1,3.913642595E0,-6.248778851E1
5.797457250E-1,8.217862007E-1,2.347817868E-1,-1.037776247E-1,-5.086994767E-1,6.947199784E1,2.951256876E1,3.916391119E0,-6.248447520E1
5.896921840E-1,8.217880871E-1,2.348555028E-1,-1.037939712E-1,-5.086590648E-1,6.947161845E1,2.952123105E1,3.918042707E0,-6.247953104E1
5.996569750E-1,8.217885024E-1,2.348721027E-1,-1.038056985E-1,-5.086483359E-1,6.947153493E1,2.952366824E1,3.917611223E0,-6.247844815E1
6.096409860E-1,8.217919236E-1,2.350195050E-1,-1.038550064E-1,-5.085646510E-1,6.947084689E1,2.954199336E1,3.919268922E0,-6.246868956E1
6.196077050E-1,8.217858505E-1,2.350453585E-1,-1.038430929E-1,-5.085649490E-1,6.947206825E1,2.954391959E1,3.921984138E0,-6.246831132E1
6.295734340E-1,8.217692020E-1,2.350456268E-1,-1.037917733E-1,-5.086022019E-1,6.947541636E1,2.954073256E1,3.928048135E0,-6.247162235E1
6.395399960E-1,8.217700412E-1,2.351459265E-1,-1.038207933E-1,-5.085485578E-1,6.947524760E1,2.955291919E1,3.929709443E0,-6.246527558E1
6.494988500E-1,8.217833096E-1,2.352026105E-1,-1.038766727E-1,-5.084894896E-1,6.947257926E1,2.956227956E1,3.925991992E0,-6.245913019E1
6.594646840E-1,8.217884735E-1,2.351665199E-1,-1.038831025E-1,-5.084965229E-1,6.947154075E1,2.955895109E1,3.923405545E0,-6.246032234E1
6.694477570E-1,8.217706148E-1,2.351636440E-1,-1.038272157E-1,-5.085381269E-1,6.947513225E1,2.955515320E1,3.929849569E0,-6.246406908E1
6.794152570E-1,8.218566073E-1,2.351888865E-1,-1.038141698E-1,-5.083901286E-1,6.945783711E1,2.955756774E1,3.927531986E0,-6.244430391E1
6.893840070E-1,8.218380429E-1,2.344073504E-1,-1.036489010E-1,-5.088146329E-1,6.946157117E1,2.946622322E1,3.909146694E0,-6.249644955E1
6.993516630E-1,8.218214157E-1,2.348967642E-1,-1.038061976E-1,-5.085836649E-1,6.946491543E1,2.952648250E1,3.916867636E0,-6.246996749E1
7.093029130E-1,8.218172757E-1,2.349113524E-1,-1.039186195E-1,-5.085606575E-1,6.946574809E1,2.953476864E1,3.906536540E0,-6.247032934E1
7.192689020E-1,8.217979303E-1,2.353931218E-1,-1.040990949E-1,-5.083321929E-1,6.946963885E1,2.959563006E1,3.911696687E0,-6.244491347E1
7.292417150E-1,8.218118429E-1,2.357920259E-1,-1.042084917E-1,-5.081023574E-1,6.946684076E1,2.964381526E1,3.918270156E0,-6.241736169E1
7.392083820E-1,8.218333406E-1,2.357140183E-1,-1.041194871E-1,-5.081220269E-1,6.946251697E1,2.963046838E1,3.922394479E0,-6.241740149E1
7.491841630E-1,8.218647416E-1,2.358169556E-1,-1.041219383E-1,-5.080229640E-1,6.945620091E1,2.964153384E1,3.925112075E0,-6.240432470E1
7.591517670E-1,8.219162861E-1,2.359436750E-1,-1.041566730E-1,-5.078735948E-1,6.944583206E1,2.965716026E1,3.924562789E0,-6.238561369E1
7.691688500E-1,9.999999927E-1,1.850266548E-5,8.323778016E-6,1.190514263E-4,1.383897735E-2,2.120362824E-3,9.535822742E-4,1.364230622E-2
7.791414020E-1,9.999999192E-1,2.027019395E-4,2.842663339E-5,3.459576824E-4,4.606279598E-2,2.322905701E-2,3.249416095E-3,3.964449050E-2
7.890455170E-1,9.999997851E-1,3.026811842E-4,-1.914623790E-5,5.811708394E-4,7.512017150E-2,3.468342839E-2,-2.214154521E-3,6.659660920E-2
7.990111420E-1,9.999996637E-1,3.919221348E-4,1.375055540E-5,7.203204502E-4,9.398280622E-2,4.491209296E-2,1.543346762E-3,8.254326176E-2
8.089893710E-1,9.999994134E-1,5.678198887E-4,4.683698535E-5,9.211637208E-4,1.241167931E-1,6.507228640E-2,5.307182333E-3,1.055606327E-1
8.189562460E-1,9.999990029E-1,7.511825801E-4,4.306639994E-6,1.195825410E-3,1.618255794E-1,8.607971966E-2,3.905684248E-4,1.370318628E-1
8.289132770E-1,9.999986800E-1,8.140629150E-4,-1.066944881E-4,1.402125160E-3,1.861906358E-1,9.326751601E-2,-1.235706857E-2,1.606617573E-1
8.388791630E-1,9.999979452E-1,1.074599703E-3,-2.060742057E-4,1.706549865E-3,2.323002722E-1,1.230996085E-1,-2.382446132E-2,1.955308282E-1
8.488517150E-1,9.999974280E-1,1.216469098E-3,-2.873783708E-4,1.892526774E-3,2.598993603E-1,1.393345696E-1,-3.319486542E-2,2.168275300E-1
8.588182250E-1,9.999971989E-1,1.264681271E-3,-3.418751963E-4,1.971248027E-3,2.712246067E-1,1.448443556E-1,-3.946158193E-2,2.258388451E-1
