"event","experiment time","system time","system time text"
"START",0.000000000E0,1777285120.168,"2026-04-27 13:18:40.168 UTC+03:00"
"PAUSE",1.171168023E1,1777285131.879,"2026-04-27 13:18:51.879 UTC+03:00"
"START",1.171168023E1,1777285154.529,"2026-04-27 13:19:14.529 UTC+03:00"
"PAUSE",2.084643005E1,1777285163.664,"2026-04-27 13:19:23.664 UTC+03:00"
"START",2.084643005E1,1777285186.062,"2026-04-27 13:19:46.062 UTC+03:00"
"PAUSE",3.473997096E1,1777285199.956,"2026-04-27 13:19:59.956 UTC+03:00"
"START",3.473997096E1,1777285219.139,"2026-04-27 13:20:19.139 UTC+03:00"
"PAUSE",4.743080493E1,1777285231.830,"2026-04-27 13:20:31.830 UTC+03:00"
"START",4.743080493E1,1777285260.873,"2026-04-27 13:21:00.873 UTC+03:00"
"PAUSE",4.954901363E1,1777285262.991,"2026-04-27 13:21:02.991 UTC+03:00"
"START",4.954901363E1,1777285280.369,"2026-04-27 13:21:20.369 UTC+03:00"
"PAUSE",6.159279390E1,1777285292.413,"2026-04-27 13:21:32.413 UTC+03:00"
