"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
5.274790000E-2,1.391475760E-1,-2.142694080E-3,3.563578008E-3,-9.902629256E-1,1.640029537E2,-4.385519204E-1,-1.863224524E-1,-1.640021014E2
5.774029600E-2,1.397781583E-1,-3.149236087E-3,4.666039255E-3,-9.901668429E-1,1.639299811E2,-5.798905526E-1,-2.825906660E-1,-1.639282948E2
6.270816100E-2,1.397122909E-1,-4.334086087E-3,5.792867392E-3,-9.901657104E-1,1.639376038E2,-7.267107414E-1,-3.990257768E-1,-1.639346501E2
6.769540000E-2,1.401949952E-1,-5.145029165E-3,6.468331907E-3,-9.900894165E-1,1.638817401E2,-8.165823619E-1,-4.798246637E-1,-1.638777666E2
7.268264000E-2,1.401757871E-1,-5.431903526E-3,6.735780742E-3,-9.900888205E-1,1.638839632E2,-8.515308250E-1,-5.080911462E-1,-1.638795801E2
7.766993100E-2,1.404776625E-1,-5.785294343E-3,6.845104508E-3,-9.900432825E-1,1.638490251E2,-8.697832474E-1,-5.461639625E-1,-1.638442264E2
8.263790000E-2,1.404563008E-1,-6.134455558E-3,6.901635788E-3,-9.900438190E-1,1.638514975E2,-8.818106381E-1,-5.848856559E-1,-1.638463034E2
8.762107700E-2,1.406376066E-1,-6.457726937E-3,7.167440373E-3,-9.900141358E-1,1.638305131E2,-9.172908527E-1,-6.171137519E-1,-1.638248154E2
9.260430600E-2,1.406210478E-1,-6.769504864E-3,7.603058126E-3,-9.900111556E-1,1.638324296E2,-9.717354863E-1,-6.454775769E-1,-1.638261124E2
9.760258800E-2,1.406497813E-1,-7.256369572E-3,8.067418821E-3,-9.899999499E-1,1.638291039E2,-1.032297791E0,-6.931955548E-1,-1.638219006E2
1.025994630E-1,1.406119565E-1,-7.802871056E-3,8.301097900E-3,-9.899992347E-1,1.638334819E2,-1.067603477E0,-7.514674676E-1,-1.638254242E2
1.075710770E-1,1.408227254E-1,-8.026583120E-3,8.303700015E-3,-9.899674654E-1,1.638090868E2,-1.071674288E0,-7.765771375E-1,-1.638007367E2
1.125650880E-1,1.408178616E-1,-8.128019981E-3,8.294613101E-3,-9.899674058E-1,1.638096497E2,-1.072278902E0,-7.882366202E-1,-1.638011744E2
1.175483170E-1,1.411205145E-1,-8.348228410E-3,8.416001685E-3,-9.899214506E-1,1.637746185E2,-1.089858880E0,-8.109250608E-1,-1.637657577E2
1.225314940E-1,1.410940439E-1,-8.747087792E-3,8.709025569E-3,-9.899192452E-1,1.637776824E2,-1.129542844E0,-8.514602490E-1,-1.637680448E2
1.275147230E-1,1.411676493E-1,-9.050000459E-3,8.865202777E-3,-9.899046421E-1,1.637691626E2,-1.152234738E0,-8.832101860E-1,-1.637589699E2
1.324979520E-1,1.411469424E-1,-9.139721282E-3,8.883214556E-3,-9.899066091E-1,1.637715594E2,-1.155713811E0,-8.931206016E-1,-1.637612242E2
1.374576920E-1,1.410056548E-1,-9.058244526E-3,8.859134279E-3,-9.899277091E-1,1.637879133E2,-1.151535142E0,-8.844320600E-1,-1.637777150E2
1.424359210E-1,1.410034754E-1,-9.066473693E-3,8.977853693E-3,-9.899268746E-1,1.637881656E2,-1.165136294E0,-8.834485379E-1,-1.637778538E2
1.474142540E-1,1.408267035E-1,-9.202367626E-3,9.212236851E-3,-9.899486303E-1,1.638086263E2,-1.193769683E0,-8.952878320E-1,-1.637979171E2
1.523925880E-1,1.408126192E-1,-9.327498265E-3,9.427278303E-3,-9.899474382E-1,1.638102565E2,-1.220179571E0,-9.060276466E-1,-1.637991751E2
1.574152960E-1,1.408300144E-1,-9.423195384E-3,9.565709159E-3,-9.899427295E-1,1.638082431E2,-1.237449981E0,-9.146267128E-1,-1.637968960E2
1.624027960E-1,1.408252332E-1,-9.420421906E-3,9.607895277E-3,-9.899430275E-1,1.638087965E2,-1.242187314E0,-9.136367550E-1,-1.637974162E2
1.673904000E-1,1.408556121E-1,-9.363285266E-3,9.635997005E-3,-9.899389744E-1,1.638052803E2,-1.244479658E0,-9.066629637E-1,-1.637939615E2
1.723780040E-1,1.408592671E-1,-9.355318733E-3,9.760950692E-3,-9.899373055E-1,1.638048573E2,-1.258531796E0,-9.037361478E-1,-1.637934408E2
1.773308170E-1,1.406766046E-1,-9.418525733E-3,9.915196337E-3,-9.899611473E-1,1.638259994E2,-1.276887879E0,-9.086504174E-1,-1.638143509E2
1.823110770E-1,1.406853454E-1,-9.468919598E-3,1.008100621E-2,-9.899577498E-1,1.638249877E2,-1.296523984E0,-9.116808425E-1,-1.638131144E2
1.872913900E-1,1.405659475E-1,-9.531562217E-3,1.021165773E-2,-9.899727702E-1,1.638388070E2,-1.312250197E0,-9.168375702E-1,-1.638267196E2
1.922717020E-1,1.405744496E-1,-9.573451243E-3,1.029203273E-2,-9.899703264E-1,1.638378229E2,-1.322054439E0,-9.202826476E-1,-1.638255973E2
1.972728480E-1,1.406064901E-1,-9.607829154E-3,1.032107137E-2,-9.899651408E-1,1.638341145E2,-1.325934369E0,-9.236716167E-1,-1.638218079E2
2.022574310E-1,1.406217520E-1,-9.626399726E-3,1.037583221E-2,-9.899622202E-1,1.638323481E2,-1.332462163E0,-9.248747578E-1,-1.638199626E2
2.072421190E-1,1.405813550E-1,-9.749927558E-3,1.048319601E-2,-9.899656177E-1,1.638370237E2,-1.346601553E0,-9.372118032E-1,-1.638243418E2
2.122267540E-1,1.405920776E-1,-9.914155118E-3,1.062902249E-2,-9.899609089E-1,1.638357827E2,-1.365810764E0,-9.534766791E-1,-1.638226983E2
2.172126920E-1,1.406152479E-1,-1.009312738E-2,1.069237478E-2,-9.899551272E-1,1.638331009E2,-1.375912657E0,-9.727264959E-1,-1.638196608E2
2.221975360E-1,1.406228390E-1,-1.020635013E-2,1.068372838E-2,-9.899529815E-1,1.638322223E2,-1.376768148E0,-9.856999550E-1,-1.638186018E2
2.271824310E-1,1.405865598E-1,-1.035275776E-2,1.069445536E-2,-9.899564981E-1,1.638364213E2,-1.380313969E0,-1.002186731E0,-1.638225458E2
2.321673790E-1,1.405896707E-1,-1.055409200E-2,1.076002140E-2,-9.899532199E-1,1.638360612E2,-1.391009156E0,-1.023965553E0,-1.638217820E2
2.371423270E-1,1.404941159E-1,-1.079463866E-2,1.084783673E-2,-9.899632335E-1,1.638471208E2,-1.404758328E0,-1.049973921E0,-1.638323439E2
2.421250880E-1,1.404938006E-1,-1.100481860E-2,1.089628041E-2,-9.899604321E-1,1.638471573E2,-1.413648454E0,-1.073037938E0,-1.638319685E2
2.471079000E-1,1.405308572E-1,-1.119411271E-2,1.091331802E-2,-9.899528623E-1,1.638428684E2,-1.418679130E0,-1.094185106E0,-1.638273329E2
2.520907130E-1,1.405273893E-1,-1.136045903E-2,1.090502553E-2,-9.899515510E-1,1.638432697E2,-1.420420985E0,-1.113195166E0,-1.638274529E2
2.570911810E-1,1.404471335E-1,-1.154389326E-2,1.091302559E-2,-9.899607301E-1,1.638525585E2,-1.424199727E0,-1.133991639E0,-1.638364121E2
2.620776400E-1,1.404405353E-1,-1.172530372E-2,1.097199135E-2,-9.899588823E-1,1.638533222E2,-1.433811993E0,-1.153631777E0,-1.638367901E2
2.670641500E-1,1.402800382E-1,-1.188948564E-2,1.103058271E-2,-9.899790287E-1,1.638718977E2,-1.442921550E0,-1.171547806E0,-1.638550087E2
2.720506610E-1,1.402683891E-1,-1.205918845E-2,1.107998006E-2,-9.899780750E-1,1.638732459E2,-1.451250032E0,-1.190022780E0,-1.638559961E2
2.770178480E-1,1.403224030E-1,-1.220581308E-2,1.111416332E-2,-9.899682403E-1,1.638669945E2,-1.457559599E0,-1.206027842E0,-1.638494397E2
2.820002440E-1,1.403119764E-1,-1.233837660E-2,1.114715822E-2,-9.899677038E-1,1.638682013E2,-1.463429830E0,-1.220551380E0,-1.638503669E2
2.869827440E-1,1.402936517E-1,-1.244856976E-2,1.116528455E-2,-9.899687171E-1,1.638703221E2,-1.467241839E0,-1.232788156E0,-1.638522652E2
2.919651920E-1,1.402816816E-1,-1.255907491E-2,1.119717024E-2,-9.899686575E-1,1.638717075E2,-1.472627956E0,-1.244829565E0,-1.638534098E2
2.969584730E-1,1.404722597E-1,-1.265865564E-2,1.125147007E-2,-9.899397492E-1,1.638496504E2,-1.480638050E0,-1.254968095E0,-1.638311012E2
3.019431090E-1,1.404613870E-1,-1.274803653E-2,1.128623914E-2,-9.899397492E-1,1.638509088E2,-1.486013646E0,-1.264564056E0,-1.638321516E2
3.069278480E-1,1.403613858E-1,-1.280715317E-2,1.127664000E-2,-9.899532795E-1,1.638624828E2,-1.485750848E0,-1.271575474E0,-1.638436287E2
3.119125360E-1,1.403498578E-1,-1.284792833E-2,1.124812383E-2,-9.899547100E-1,1.638638170E2,-1.483158103E0,-1.276677907E0,-1.638449226E2
3.168963380E-1,1.403504008E-1,-1.288298611E-2,1.125894859E-2,-9.899540544E-1,1.638637541E2,-1.484953101E0,-1.280480062E0,-1.638447811E2
3.218807650E-1,1.403388069E-1,-1.292661671E-2,1.128529944E-2,-9.899548292E-1,1.638650960E2,-1.488632688E0,-1.285023013E0,-1.638460090E2
3.268652960E-1,1.403384398E-1,-1.295474824E-2,1.130464673E-2,-9.899542928E-1,1.638651385E2,-1.491281860E0,-1.287903536E0,-1.638459749E2
3.318497750E-1,1.403243342E-1,-1.294695027E-2,1.130599435E-2,-9.899563789E-1,1.638667710E2,-1.491290595E0,-1.287018406E0,-1.638476205E2
3.368329520E-1,1.402827356E-1,-1.291795913E-2,1.130738389E-2,-9.899626374E-1,1.638715855E2,-1.490926467E0,-1.283769636E0,-1.638524879E2
3.418171190E-1,1.402728087E-1,-1.287020370E-2,1.132321078E-2,-9.899644852E-1,1.638727344E2,-1.491939274E0,-1.278111967E0,-1.638537063E2
3.468013380E-1,1.402498842E-1,-1.282723714E-2,1.134844869E-2,-9.899680018E-1,1.638753876E2,-1.494080746E0,-1.272865777E0,-1.638564088E2
3.517855560E-1,1.402409097E-1,-1.276873797E-2,1.136932243E-2,-9.899697900E-1,1.638764262E2,-1.495494542E0,-1.265906645E0,-1.638575310E2
3.567978480E-1,1.402466386E-1,-1.271033566E-2,1.137447450E-2,-9.899696708E-1,1.638757632E2,-1.495144577E0,-1.259189292E0,-1.638569705E2
3.617879000E-1,1.402329790E-1,-1.264345367E-2,1.135803480E-2,-9.899726510E-1,1.638773441E2,-1.492182955E0,-1.251886600E0,-1.638586962E2
3.667779520E-1,1.402950881E-1,-1.256640349E-2,1.134150568E-2,-9.899650216E-1,1.638701558E2,-1.489142611E0,-1.243317712E0,-1.638516703E2
3.717680560E-1,1.402843486E-1,-1.248459239E-2,1.132536400E-2,-9.899677634E-1,1.638713988E2,-1.485977559E0,-1.234312186E0,-1.638530842E2
3.767093060E-1,1.402522495E-1,-1.241123397E-2,1.132421754E-2,-9.899732471E-1,1.638751138E2,-1.484624339E0,-1.226056244E0,-1.638569363E2
3.816890980E-1,1.402440575E-1,-1.232471969E-2,1.131694298E-2,-9.899755716E-1,1.638760619E2,-1.482393507E0,-1.216370463E0,-1.638580525E2
3.866689940E-1,1.402214807E-1,-1.223568339E-2,1.131268777E-2,-9.899799228E-1,1.638786748E2,-1.480447336E0,-1.206371449E0,-1.638608342E2
3.916488380E-1,1.402139775E-1,-1.214607712E-2,1.129881665E-2,-9.899822474E-1,1.638795432E2,-1.477419456E0,-1.196439865E0,-1.638618829E2
3.966507130E-1,1.401687501E-1,-1.205797028E-2,1.126493327E-2,-9.899901152E-1,1.638847776E2,-1.472099690E0,-1.187056347E0,-1.638673176E2
4.016316500E-1,1.401669756E-1,-1.196965575E-2,1.124498714E-2,-9.899916649E-1,1.638849830E2,-1.468410819E0,-1.177360275E0,-1.638677064E2
