"event","experiment time","system time","system time text"
"START",0.000000000E0,1777390291.421,"2026-04-28 18:31:31.421 UTC+03:00"
"PAUSE",1.481575507E1,1777390306.237,"2026-04-28 18:31:46.237 UTC+03:00"
"START",1.481575507E1,1777390335.583,"2026-04-28 18:32:15.583 UTC+03:00"
"PAUSE",2.897508836E1,1777390349.742,"2026-04-28 18:32:29.742 UTC+03:00"
"START",2.897508836E1,1777390379.093,"2026-04-28 18:32:59.093 UTC+03:00"
"PAUSE",4.333372718E1,1777390393.451,"2026-04-28 18:33:13.451 UTC+03:00"
"START",4.333372718E1,1777390436.803,"2026-04-28 18:33:56.803 UTC+03:00"
"PAUSE",5.391751063E1,1777390447.386,"2026-04-28 18:34:07.386 UTC+03:00"
"START",5.391751063E1,1777390502.344,"2026-04-28 18:35:02.344 UTC+03:00"
"PAUSE",6.345477216E1,1777390511.881,"2026-04-28 18:35:11.881 UTC+03:00"
"START",6.345477216E1,1777390546.654,"2026-04-28 18:35:46.654 UTC+03:00"
"PAUSE",7.417954145E1,1777390557.379,"2026-04-28 18:35:57.379 UTC+03:00"
"START",7.417954145E1,1777390608.354,"2026-04-28 18:36:48.354 UTC+03:00"
"PAUSE",8.507287337E1,1777390619.248,"2026-04-28 18:36:59.248 UTC+03:00"
